"Outcome","ID","bp_genA","bp_genT","bp_genC","bp_genG","bp_genome_total","fr_genA","fr_genT","fr_genC","fr_genG","genomic_topological_entropy_score","genomic_chargaff_score_pf","genomic_chargaff_score_ct","genomic_shannon_score","n_cds_plus","n_cds_minus","n_cds_total","bp_cdsA","bp_cdsT","bp_cdsC","bp_cdsG","bp_cds_total","fr_cdsA","fr_cdsT","fr_cdsC","fr_cdsG","cds_topological_entropy_score","cds_chargaff_score_pf","cds_chargaff_score_ct","cds_shannon_score","n_ncRNA_plus","n_ncRNA_minus","n_ncRNA_total","bp_ncRNA_A","bp_ncRNA_T","bp_ncRNA_C","bp_ncRNA_G","bp_ncRNA_total","fr_ncRNA_A","fr_ncRNA_T","fr_ncRNA_C","fr_ncRNA_G","ncRNA_topological_entropy_score","ncRNA_chargaff_score_pf","ncRNA_chargaff_score_ct","ncRNA_shannon_score","n_tRNA_plus","n_tRNA_minus","n_tRNA_total","bp_tRNA_A","bp_tRNA_T","bp_tRNA_C","bp_tRNA_G","bp_tRNA_total","fr_tRNA_A","fr_tRNA_T","fr_tRNA_C","fr_tRNA_G","tRNA_topological_entropy_score","tRNA_chargaff_score_pf","tRNA_chargaff_score_ct","tRNA_shannon_score","n_rRNA_plus","n_rRNA_minus","n_rRNA_total","bp_rRNA_A","bp_rRNA_T","bp_rRNA_C","bp_rRNA_G","bp_rRNA_total","fr_rRNA_A","fr_rRNA_T","fr_rRNA_C","fr_rRNA_G","rRNA_topological_entropy_score","rRNA_chargaff_score_pf","rRNA_chargaff_score_ct","rRNA_shannon_score"
"Archaea","NC_015474",532485,533302,399105,396428,1861320,0.29,0.29,0.21,0.21,0.9501,0.0041,0.9959,1.9847,899,941,1840,507962,399965,275373,411230,1594530,0.32,0.25,0.17,0.26,0.8992,0.3542,0.7106,1.9529,10,10,20,333,325,406,595,1659,0.22,0.23,0.21,0.34,0.8144,0.3103,0.7497,1.9445,21,25,46,539,538,1280,1298,3655,0.15,0.15,0.35,0.35,0.8572,0.1509,0.8696,1.8662,3,1,4,930,661,1416,1789,4796,0.18,0.13,0.33,0.37,0.874,0.23,0.8013,1.8768
"Archaea","NZ_AP028634",505763,509644,498234,491533,2005174,0.25,0.25,0.25,0.25,0.9565,0.0106,0.9895,1.9999,696,717,1413,334158,266220,268935,319290,1188603,0.28,0.22,0.22,0.27,0.9065,0.2572,0.7823,1.9718,1,1,2,110,59,216,250,635,0.17,0.09,0.34,0.39,0.8549,0.3748,0.7009,1.8148,26,20,46,530,486,1318,1322,3656,0.14,0.13,0.36,0.36,0.8314,0.206,0.8264,1.8324,1,2,3,884,578,1469,1810,4741,0.18,0.12,0.32,0.37,0.8797,0.2588,0.7773,1.8738
"Archaea","NZ_AP025226",1030861,1032871,504790,507273,3075795,0.34,0.34,0.16,0.16,0.936,0.0034,0.9966,1.9139,1425,1380,2805,835038,703875,311953,468482,2319348,0.37,0.3,0.13,0.2,0.8829,0.3569,0.7118,1.8858,1,1,2,139,116,152,205,612,0.23,0.19,0.25,0.33,0.8987,0.2301,0.7987,1.9603,15,31,46,514,547,1181,1287,3529,0.14,0.15,0.33,0.37,0.8162,0.2286,0.8123,1.8541,2,1,3,996,699,1323,1654,4672,0.21,0.15,0.3,0.34,0.8943,0.2586,0.7764,1.9298
"Archaea","NZ_CP026309",699270,708554,1422450,1420289,4250563,0.16,0.17,0.33,0.33,0.9243,0.0074,0.9927,1.9161,1926,2080,4006,578351,510037,1148384,1126336,3363108,0.17,0.15,0.34,0.33,0.8674,0.1962,0.8326,1.8957,1,1,2,128,85,233,268,714,0.18,0.12,0.33,0.38,0.8618,0.2609,0.7804,1.8659,23,25,48,640,716,1075,1195,3626,0.18,0.2,0.3,0.33,0.8762,0.1888,0.8384,1.9372,3,3,6,2221,1563,2389,2835,9008,0.23,0.16,0.29,0.31,0.9043,0.2588,0.774,1.9518
"Archaea","NZ_AP024597",889400,881399,590294,597317,2958410,0.3,0.3,0.2,0.2,0.9514,0.0104,0.9896,1.9718,1318,1199,2517,684695,572556,377953,495282,2130486,0.33,0.27,0.17,0.23,0.8988,0.309,0.7433,1.9425,1,1,2,155,121,147,198,621,0.25,0.19,0.24,0.32,0.9053,0.2648,0.7684,1.9697,17,29,46,516,554,1166,1290,3526,0.15,0.16,0.33,0.37,0.81,0.2857,0.7661,1.857,1,2,3,1015,695,1303,1626,4639,0.21,0.14,0.3,0.35,0.8928,0.2716,0.7672,1.9207
"Archaea","NZ_CP035730",936682,942239,456068,454537,2789526,0.34,0.34,0.16,0.16,0.9361,0.0046,0.9954,1.9112,1227,1311,2538,755407,649471,287783,415790,2108451,0.37,0.3,0.13,0.2,0.8832,0.3386,0.7244,1.8849,1,1,2,158,108,150,194,610,0.26,0.18,0.25,0.32,0.903,0.3078,0.7362,1.9608,22,24,46,524,553,1173,1280,3530,0.15,0.16,0.33,0.37,0.8187,0.2449,0.7985,1.8594,1,2,3,1012,756,1267,1627,4662,0.21,0.16,0.29,0.34,0.9029,0.2437,0.7859,1.9416
"Archaea","NZ_AP018930",728801,730682,538140,537659,2535282,0.29,0.29,0.21,0.21,0.9532,0.0017,0.9983,1.9834,1058,1126,2184,537162,451682,343421,434711,1766976,0.31,0.26,0.19,0.25,0.9004,0.2938,0.7539,1.9571,1,1,2,158,123,141,187,609,0.26,0.2,0.23,0.31,0.8993,0.2606,0.773,1.9789,19,27,46,567,578,1130,1251,3526,0.16,0.16,0.32,0.36,0.8432,0.2241,0.8169,1.8804,1,3,4,1105,787,1223,1553,4668,0.24,0.17,0.26,0.32,0.9018,0.2554,0.7753,1.9668
"Archaea","NZ_CP045484",939337,946433,459550,458595,2803915,0.34,0.34,0.16,0.16,0.9343,0.0048,0.9952,1.9123,1305,1312,2617,765171,658879,291307,423655,2139012,0.36,0.3,0.13,0.2,0.8833,0.3413,0.723,1.8856,1,1,2,158,107,151,194,610,0.26,0.18,0.25,0.32,0.9048,0.3097,0.7347,1.9597,25,21,46,513,557,1175,1286,3531,0.15,0.16,0.33,0.37,0.8168,0.243,0.7992,1.8586,1,2,3,995,689,1318,1651,4653,0.21,0.15,0.3,0.34,0.8937,0.2632,0.7731,1.9289
"Archaea","NC_003106",900901,910333,438849,444673,2694756,0.33,0.34,0.16,0.17,0.9347,0.0118,0.9883,1.9127,1294,1269,2563,732842,624587,276622,406165,2040216,0.37,0.3,0.13,0.2,0.8825,0.3472,0.7188,1.8852,1,1,2,155,107,151,197,610,0.25,0.18,0.25,0.32,0.9054,0.3103,0.7331,1.9599,27,19,46,513,555,1177,1286,3531,0.15,0.16,0.33,0.37,0.8168,0.2396,0.8022,1.858,1,2,3,994,688,1320,1651,4653,0.21,0.15,0.3,0.34,0.8936,0.2631,0.7732,1.9286
"Archaea","NZ_CP080572",587839,590764,384659,382986,1946248,0.3,0.3,0.2,0.2,0.9476,0.0047,0.9953,1.9676,964,995,1959,565494,452611,279204,392795,1690104,0.34,0.27,0.16,0.23,0.8968,0.3293,0.7276,1.941,1,1,2,120,92,178,247,637,0.19,0.14,0.28,0.39,0.876,0.283,0.7558,1.8915,28,18,46,534,564,1254,1303,3655,0.15,0.15,0.34,0.36,0.8595,0.1599,0.861,1.8709,3,1,4,980,719,1337,1723,4759,0.18,0.13,0.32,0.37,0.8827,0.238,0.7925,1.8871
"Archaea","NC_014804",588109,582624,419790,419555,2010078,0.29,0.29,0.21,0.21,0.9476,0.005,0.9951,1.9803,1020,1012,2032,560674,455525,309158,432424,1757781,0.32,0.26,0.17,0.25,0.8983,0.3234,0.7314,1.9532,1,1,2,114,81,189,254,638,0.18,0.13,0.3,0.4,0.8656,0.3064,0.7372,1.8645,25,21,46,532,540,1276,1309,3657,0.15,0.15,0.35,0.36,0.8569,0.1567,0.865,1.8638,3,1,4,959,701,1363,1751,4774,0.17,0.15,0.31,0.37,0.895,0.1755,0.844,1.8935
"Archaea","NZ_CP014854",407592,405454,526717,527056,1866819,0.22,0.22,0.28,0.28,0.9455,0.003,0.9971,1.988,904,965,1869,383276,302434,423720,500403,1609833,0.24,0.19,0.26,0.31,0.8977,0.2612,0.7777,1.9623,1,1,2,98,62,208,266,634,0.15,0.1,0.33,0.42,0.8468,0.3345,0.7279,1.7919,16,30,46,528,552,1271,1303,3654,0.15,0.15,0.35,0.36,0.8571,0.1621,0.8606,1.8653,1,3,4,956,707,1363,1734,4760,0.17,0.14,0.31,0.37,0.8807,0.1604,0.8574,1.8869
"Archaea","NC_012804",470421,479450,550962,544605,2045438,0.23,0.23,0.27,0.27,0.9505,0.0153,0.9848,1.9963,972,1078,2050,458496,369950,454271,525731,1808448,0.26,0.21,0.24,0.29,0.9026,0.2492,0.7869,1.9756,1,1,2,96,65,212,263,636,0.15,0.1,0.33,0.41,0.8572,0.2957,0.7454,1.7997,21,25,46,533,545,1275,1299,3652,0.15,0.15,0.35,0.35,0.8565,0.1515,0.8686,1.8662,1,3,4,945,684,1382,1752,4763,0.18,0.14,0.32,0.36,0.8806,0.1893,0.8318,1.8888
"Archaea","NZ_CP007140",451828,453647,508437,507002,1920914,0.24,0.24,0.26,0.26,0.9516,0.0034,0.9966,1.9976,990,985,1975,429763,344244,416141,480087,1670235,0.26,0.21,0.24,0.29,0.904,0.2513,0.7858,1.9761,1,1,2,91,66,203,258,618,0.15,0.11,0.33,0.42,0.8541,0.265,0.7711,1.7988,20,26,46,531,547,1272,1300,3650,0.15,0.15,0.35,0.35,0.8567,0.1571,0.8638,1.8661,2,2,4,943,686,1383,1751,4763,0.18,0.14,0.32,0.37,0.88,0.1884,0.8328,1.8836
"Archaea","NC_011529",454016,446273,470363,476955,1847607,0.25,0.24,0.25,0.26,0.953,0.0156,0.9846,1.9995,1021,872,1893,426268,344889,388985,450003,1610145,0.27,0.22,0.24,0.28,0.9063,0.2426,0.792,1.9796,1,1,2,107,69,203,257,636,0.17,0.11,0.32,0.4,0.8707,0.3237,0.7289,1.83,27,19,46,541,551,1268,1295,3655,0.15,0.15,0.35,0.35,0.8578,0.1492,0.8706,1.8706,1,3,4,955,705,1363,1738,4761,0.18,0.14,0.31,0.36,0.8813,0.2039,0.8185,1.8963
"Archaea","NZ_CP006965",590138,578702,390633,398269,1957742,0.3,0.3,0.2,0.2,0.9462,0.0195,0.9807,1.9726,1039,961,2000,554428,452677,288566,406001,1701672,0.33,0.27,0.17,0.24,0.8963,0.3213,0.7333,1.947,1,1,2,113,85,187,253,638,0.18,0.13,0.29,0.4,0.8693,0.2885,0.7484,1.8743,25,21,46,530,544,1274,1309,3657,0.15,0.15,0.35,0.36,0.8555,0.156,0.8652,1.8647,1,3,4,960,692,1362,1750,4764,0.18,0.14,0.31,0.37,0.8822,0.1988,0.8227,1.8929
"Archaea","NZ_CP014750",444890,446671,476912,478527,1847000,0.24,0.24,0.26,0.26,0.9513,0.0037,0.9963,1.9991,964,918,1882,423882,334572,385509,454485,1598448,0.27,0.21,0.24,0.29,0.9046,0.2603,0.7783,1.9774,1,1,2,98,67,206,265,636,0.15,0.11,0.32,0.42,0.8547,0.309,0.7351,1.8089,24,22,46,536,547,1272,1300,3655,0.15,0.15,0.35,0.35,0.8571,0.15,0.8698,1.8675,1,3,4,945,682,1381,1754,4762,0.18,0.13,0.32,0.36,0.8872,0.2,0.8239,1.8828
"Archaea","NZ_CP014862",470494,466681,533460,534463,2005098,0.23,0.23,0.27,0.27,0.9501,0.005,0.995,1.9969,1020,973,1993,454465,358560,441332,513267,1767624,0.26,0.2,0.24,0.29,0.9034,0.2584,0.7803,1.9752,1,1,2,93,62,211,270,636,0.15,0.1,0.33,0.42,0.8476,0.3135,0.7337,1.7815,23,23,46,528,552,1268,1299,3647,0.15,0.15,0.35,0.35,0.8584,0.1584,0.8629,1.8667,3,1,4,941,703,1366,1749,4759,0.17,0.14,0.31,0.38,0.8772,0.1889,0.8305,1.8789
"Archaea","NC_012883",550363,553402,371225,370810,1845800,0.3,0.3,0.2,0.2,0.9479,0.0033,0.9967,1.9721,943,913,1856,519298,412150,267376,371700,1570524,0.33,0.26,0.17,0.24,0.8982,0.3242,0.7309,1.945,1,1,2,132,88,178,238,636,0.21,0.14,0.28,0.37,0.875,0.3288,0.7245,1.9008,27,19,46,544,573,1243,1293,3653,0.15,0.16,0.34,0.35,0.8616,0.1554,0.865,1.8773,3,1,4,1001,747,1311,1703,4762,0.19,0.14,0.31,0.36,0.8851,0.2314,0.7968,1.8937
"Archaea","NZ_CP015103",453123,460125,558336,557583,2029167,0.22,0.23,0.28,0.27,0.9482,0.0083,0.9917,1.9928,1020,1021,2041,441924,346916,464839,531681,1785360,0.25,0.19,0.25,0.3,0.9011,0.2531,0.7845,1.9702,1,1,2,96,66,207,267,636,0.15,0.1,0.33,0.42,0.8509,0.2995,0.7451,1.7979,27,19,46,539,547,1275,1292,3653,0.15,0.15,0.35,0.35,0.8591,0.1477,0.8718,1.8684,2,1,3,941,686,1324,1688,4639,0.18,0.15,0.3,0.37,0.887,0.1991,0.8242,1.8984
"Archaea","NC_016051",474970,468492,570724,572242,2086428,0.23,0.22,0.27,0.27,0.9463,0.0082,0.9919,1.9934,1093,1039,2132,453253,363544,474524,540998,1832319,0.25,0.2,0.25,0.3,0.8998,0.2472,0.789,1.9714,1,1,2,97,65,212,262,636,0.15,0.1,0.33,0.41,0.8571,0.2914,0.7533,1.7999,23,23,46,535,542,1276,1299,3652,0.15,0.15,0.35,0.35,0.8555,0.1534,0.8666,1.8659,1,3,4,940,684,1382,1755,4761,0.17,0.14,0.32,0.37,0.8864,0.1533,0.8648,1.8836
"Archaea","NZ_JAGGKB010000001",209417,205352,231366,229727,875862,0.24,0.23,0.26,0.26,0.9476,0.0134,0.9868,1.9979,411,412,823,183535,142985,172903,202643,702066,0.26,0.21,0.24,0.29,0.9037,0.2625,0.7775,1.9755,1,3,4,118,92,236,301,747,0.17,0.18,0.29,0.36,0.8339,0.2653,0.7721,1.888,9,10,19,229,232,521,522,1504,0.15,0.15,0.35,0.35,0.8483,0.2002,0.8326,1.8734,1,3,4,951,684,1384,1750,4769,0.18,0.14,0.32,0.36,0.8807,0.1942,0.8283,1.8868
"Bacteria","NZ_CP110224",1187722,1193093,743784,742991,3867590,0.31,0.31,0.19,0.19,0.9491,0.0028,0.9972,1.9611,1659,1618,3277,910198,775428,454370,616407,2756403,0.34,0.28,0.16,0.22,0.8963,0.292,0.754,1.9359,2,2,4,302,260,197,261,1020,0.3,0.26,0.19,0.25,0.9085,0.1817,0.8415,1.9632,51,11,62,944,1031,1326,1491,4792,0.2,0.22,0.28,0.31,0.8872,0.1369,0.8767,1.9673,15,3,18,7363,5628,6148,8479,27618,0.25,0.21,0.24,0.31,0.9186,0.2222,0.8051,1.9817
"Bacteria","NZ_CP007230",1300016,1300474,1148730,1154502,4903722,0.27,0.27,0.23,0.24,0.958,0.0027,0.9973,1.9973,1947,2073,4020,998089,1009217,873062,997933,3878301,0.26,0.26,0.22,0.25,0.9085,0.1699,0.8504,1.9822,4,4,8,315,239,342,413,1309,0.24,0.19,0.26,0.31,0.8869,0.2988,0.7573,1.9448,53,34,87,1429,1547,1956,2145,7077,0.2,0.22,0.28,0.3,0.8872,0.1652,0.852,1.9696,15,7,22,8324,6616,7098,10040,32078,0.24,0.19,0.25,0.32,0.9114,0.2223,0.8042,1.9674
"Bacteria","NC_003155",1327820,1315189,3192610,3189989,9025608,0.15,0.15,0.35,0.35,0.9209,0.0052,0.9948,1.8723,3570,3696,7266,1078261,1030577,2661585,2534274,7304697,0.15,0.14,0.36,0.35,0.8695,0.1654,0.8549,1.8621,1,1,2,89,64,161,191,505,0.16,0.15,0.31,0.38,0.8911,0.3259,0.7256,1.8763,36,39,75,1027,1132,1692,1908,5759,0.18,0.2,0.29,0.33,0.8837,0.2009,0.8258,1.9381,12,6,18,6573,5629,6745,9651,28598,0.23,0.19,0.25,0.34,0.9119,0.2644,0.7689,1.9623
"Bacteria","NZ_CP023671",1222290,1230323,472976,473833,3399422,0.36,0.36,0.14,0.14,0.9119,0.0042,0.9958,1.8534,1444,1368,2812,1060544,809503,265006,477140,2612193,0.41,0.31,0.1,0.18,0.8633,0.4468,0.6523,1.8159,1,2,3,222,198,162,221,803,0.28,0.25,0.2,0.27,0.9101,0.2202,0.8054,1.9778,63,24,87,1404,1581,1796,1963,6744,0.21,0.23,0.27,0.29,0.8928,0.1482,0.8665,1.981,17,16,33,13907,10266,10612,15112,49897,0.27,0.21,0.21,0.31,0.9168,0.3025,0.7404,1.98
"Bacteria","NZ_CP116887",1373039,1373928,1116310,1117977,4981254,0.28,0.28,0.22,0.22,0.9584,0.0011,0.9989,1.9923,2008,2095,4103,1004744,904551,740048,878897,3528240,0.29,0.26,0.2,0.25,0.906,0.2137,0.8144,1.9738,3,3,6,358,329,342,447,1476,0.23,0.22,0.24,0.3,0.9084,0.1807,0.8401,1.9756,112,58,170,2629,2849,3715,4149,13342,0.2,0.21,0.28,0.31,0.8911,0.1503,0.8646,1.9661,51,13,64,25434,18978,23750,31703,99865,0.24,0.19,0.25,0.31,0.9062,0.2283,0.7977,1.9772
"Bacteria","NZ_LT629691",1304971,1260120,2059190,1979697,6604078,0.2,0.19,0.31,0.3,0.9423,0.0372,0.9635,1.9635,2512,2992,5504,1076239,1037174,1738125,1710423,5561961,0.2,0.19,0.31,0.31,0.895,0.156,0.8626,1.9506,1,2,3,142,114,169,206,631,0.21,0.18,0.28,0.33,0.8893,0.2301,0.8,1.9518,23,43,66,1005,1094,1468,1615,5182,0.19,0.21,0.28,0.31,0.8909,0.1354,0.8778,1.9612,4,13,17,5949,4858,5027,7119,22953,0.26,0.21,0.24,0.29,0.9025,0.2064,0.8177,1.9871
"Bacteria","NZ_AP019827",758106,747401,314996,322443,2142946,0.35,0.35,0.15,0.15,0.9229,0.0188,0.9814,1.8781,962,856,1818,668777,502588,186988,338708,1697061,0.4,0.3,0.11,0.2,0.8685,0.4617,0.6408,1.8405,2,1,3,259,255,123,192,829,0.31,0.32,0.15,0.23,0.8856,0.3074,0.7487,1.929,17,28,45,732,806,949,1056,3543,0.21,0.23,0.27,0.3,0.8916,0.1586,0.8584,1.9775,9,6,15,6168,4530,4882,6963,22543,0.27,0.21,0.23,0.29,0.922,0.249,0.7837,1.9837
"Bacteria","NZ_CP021130",513950,512539,886994,888790,2802273,0.18,0.18,0.32,0.32,0.9358,0.0024,0.9976,1.9478,1242,1340,2582,428467,434628,773842,774019,2410956,0.18,0.18,0.31,0.32,0.8908,0.1613,0.8594,1.9339,1,1,2,103,51,141,163,458,0.2,0.1,0.32,0.37,0.8629,0.4129,0.6771,1.8514,24,23,47,701,741,1068,1193,3703,0.19,0.2,0.29,0.32,0.8912,0.1336,0.8779,1.9572,2,4,6,2153,1671,2154,3007,8985,0.23,0.18,0.25,0.34,0.9132,0.2457,0.7832,1.9637
"Bacteria","NZ_CP024411",305667,311539,116577,114184,847967,0.36,0.37,0.14,0.13,0.9146,0.0199,0.9803,1.8444,320,389,709,315866,246764,88637,122865,774132,0.41,0.32,0.11,0.16,0.8656,0.3117,0.7373,1.8195,1,1,2,149,117,63,103,432,0.32,0.29,0.15,0.25,0.8981,0.3652,0.7003,1.9396,8,21,29,486,516,613,661,2276,0.21,0.23,0.27,0.29,0.885,0.1296,0.8823,1.977,3,3,6,2608,2106,1810,2570,9094,0.29,0.23,0.21,0.27,0.9117,0.2225,0.804,1.9877
"Bacteria","NZ_CP049818",728753,722769,489421,492175,2433118,0.3,0.3,0.2,0.2,0.9488,0.0069,0.9931,1.9729,1050,954,2004,409828,341748,231913,290494,1273983,0.33,0.27,0.18,0.23,0.8937,0.2592,0.7785,1.9499,2,1,3,251,214,174,212,851,0.29,0.26,0.2,0.25,0.908,0.1709,0.848,1.9736,10,45,55,834,942,1116,1299,4191,0.2,0.23,0.27,0.31,0.8895,0.1671,0.8501,1.9683,3,9,12,5015,3789,3930,5477,18211,0.25,0.2,0.24,0.31,0.9085,0.2397,0.7892,1.9738
"Bacteria","NZ_CP029494",501371,505190,1023978,1021504,3052043,0.16,0.17,0.34,0.33,0.9242,0.005,0.995,1.9147,1513,1334,2847,438789,400753,898568,870801,2608911,0.17,0.16,0.34,0.33,0.8776,0.1647,0.857,1.897,1,1,2,101,61,161,187,510,0.2,0.14,0.3,0.37,0.868,0.2827,0.7624,1.8994,20,30,50,793,825,1085,1212,3915,0.2,0.21,0.28,0.31,0.8881,0.1274,0.8847,1.9684,3,6,9,3423,2587,3281,4236,13527,0.23,0.18,0.27,0.32,0.9064,0.2145,0.8097,1.9544
"Bacteria","NZ_CP133763",1765378,1767440,1083786,1087168,5703772,0.31,0.31,0.19,0.19,0.9507,0.0021,0.9979,1.9585,2254,2334,4588,1257829,1107810,667824,860843,3894306,0.33,0.28,0.17,0.22,0.8971,0.2578,0.7801,1.9413,3,2,5,321,324,247,325,1217,0.26,0.27,0.2,0.26,0.8833,0.2141,0.8103,1.9742,54,30,84,1307,1388,1787,1998,6480,0.2,0.21,0.28,0.31,0.8875,0.1316,0.8809,1.9676,34,3,37,14966,11487,12680,17613,56746,0.24,0.21,0.24,0.31,0.9163,0.2269,0.7999,1.9799
"Bacteria","NZ_CP094669",1270782,1275360,1595299,1595269,5736710,0.22,0.22,0.28,0.28,0.9542,0.0018,0.9982,1.9909,2267,2054,4321,1032541,948084,1341490,1273033,4595148,0.23,0.21,0.29,0.27,0.9064,0.1549,0.8629,1.9753,1,1,2,109,86,136,169,500,0.21,0.19,0.27,0.33,0.8903,0.2288,0.7964,1.9613,30,18,48,751,870,906,1113,3640,0.21,0.24,0.25,0.31,0.8885,0.1927,0.8299,1.9726,6,3,9,3498,2726,3119,4259,13602,0.23,0.21,0.26,0.3,0.9209,0.253,0.7779,1.9742
"Bacteria","NZ_CP071383",991323,986513,1208421,1205921,4392178,0.23,0.22,0.28,0.27,0.9532,0.0035,0.9965,1.9929,1934,2039,3973,824266,817362,1012813,1084750,3739191,0.23,0.22,0.27,0.29,0.9053,0.145,0.8712,1.9795,9,3,12,439,308,500,577,1824,0.24,0.17,0.27,0.31,0.8654,0.2799,0.7718,1.9477,40,46,86,1313,1443,1897,2086,6739,0.19,0.21,0.28,0.31,0.8882,0.1627,0.8534,1.9638,6,15,21,8220,6476,7190,10050,31936,0.24,0.19,0.25,0.32,0.9159,0.2247,0.8014,1.9677
"Bacteria","NC_017668",1208344,1206364,865532,870392,4150632,0.29,0.29,0.21,0.21,0.9526,0.0036,0.9964,1.9806,1756,1790,3546,919019,818349,575072,709358,3021798,0.31,0.27,0.19,0.23,0.903,0.2364,0.796,1.9621,1,2,3,232,182,186,242,842,0.27,0.22,0.23,0.29,0.8979,0.2195,0.8078,1.9778,55,12,67,997,1111,1441,1622,5171,0.19,0.22,0.28,0.31,0.8858,0.1437,0.8713,1.9633,18,3,21,8375,6260,7467,10091,32193,0.25,0.19,0.24,0.31,0.9113,0.2486,0.7803,1.9773
"Bacteria","NZ_CP045235",614956,614006,1227757,1231905,3688624,0.17,0.17,0.33,0.33,0.9221,0.0025,0.9975,1.9181,1683,1550,3233,520173,498131,1038305,1056848,3113457,0.17,0.16,0.33,0.34,0.8719,0.1522,0.8661,1.9048,2,1,3,132,116,206,239,693,0.18,0.18,0.3,0.34,0.8778,0.1825,0.8369,1.9356,31,31,62,913,997,1396,1552,4858,0.19,0.21,0.29,0.32,0.8866,0.1482,0.8659,1.9573,6,6,12,4633,3748,4059,5658,18098,0.25,0.2,0.25,0.3,0.9149,0.2495,0.7796,1.9803
"Bacteria","NZ_CP096206",589893,586065,388212,385212,1949382,0.3,0.3,0.2,0.2,0.9484,0.0071,0.9929,1.969,816,834,1650,473270,452712,293457,336001,1555440,0.31,0.29,0.19,0.21,0.9016,0.1808,0.841,1.9568,1,2,3,190,164,127,165,646,0.29,0.25,0.19,0.26,0.8912,0.2287,0.8033,1.9795,28,16,44,688,778,845,1013,3324,0.21,0.24,0.25,0.3,0.8951,0.1794,0.841,1.9733,6,3,9,3666,2769,2950,4211,13596,0.25,0.22,0.22,0.31,0.9169,0.2933,0.7459,1.9799
"Bacteria","NZ_CP019633",794110,793785,678657,685059,2951611,0.27,0.27,0.23,0.23,0.9488,0.0049,0.9951,1.9958,1057,1027,2084,705312,573729,528187,619820,2427048,0.3,0.24,0.21,0.25,0.9068,0.2194,0.8089,1.9797,1,2,3,153,124,166,208,651,0.23,0.2,0.26,0.32,0.8977,0.2249,0.8032,1.9625,25,20,45,654,779,877,1103,3413,0.19,0.23,0.26,0.32,0.8833,0.2077,0.8179,1.9667,4,3,7,2717,2155,2398,3170,10440,0.26,0.21,0.24,0.3,0.9155,0.2367,0.7905,1.9857
"Bacteria","NZ_CP031252",550241,555927,643013,648095,2397276,0.23,0.23,0.27,0.27,0.9423,0.0091,0.991,1.9957,1072,1083,2155,478227,400242,564558,520557,1963584,0.25,0.21,0.28,0.26,0.8929,0.2501,0.7878,1.9637,2,1,3,142,95,182,224,643,0.21,0.16,0.28,0.35,0.8813,0.2412,0.8029,1.924,21,39,60,914,1025,1299,1482,4720,0.19,0.22,0.28,0.31,0.8907,0.1569,0.8611,1.9637,6,6,12,4832,3836,3964,5556,18188,0.25,0.21,0.24,0.29,0.9161,0.2224,0.8036,1.9839
"Bacteria","NC_011566",1532990,1527255,1166039,1170192,5396476,0.28,0.28,0.22,0.22,0.9567,0.0037,0.9964,1.987,2181,2002,4183,1198515,1146627,871112,990661,4206915,0.29,0.27,0.2,0.23,0.909,0.1645,0.8539,1.978,1,3,4,165,140,184,231,720,0.22,0.19,0.26,0.32,0.8961,0.2119,0.8112,1.9667,44,41,85,1376,1495,1821,1981,6673,0.21,0.22,0.27,0.3,0.8913,0.1366,0.8784,1.9756,15,10,25,9686,7924,7834,11100,36544,0.26,0.22,0.23,0.29,0.9102,0.1897,0.8335,1.9886
"Bacteria","NZ_CP065725",770983,773487,622977,631413,2798860,0.28,0.28,0.22,0.23,0.9549,0.0083,0.9917,1.9922,1238,1174,2412,618858,643481,492487,574266,2329092,0.27,0.28,0.21,0.24,0.9082,0.1934,0.8318,1.9778,2,1,3,165,152,170,191,678,0.23,0.23,0.26,0.28,0.8933,0.1748,0.8453,1.9809,12,31,43,666,744,926,1055,3391,0.2,0.22,0.27,0.31,0.8918,0.1593,0.8571,1.9679,3,6,9,3529,2874,2965,4170,13538,0.25,0.21,0.25,0.29,0.9107,0.2403,0.7875,1.9831
"Bacteria","NZ_CP064942",694249,684194,1407781,1413138,4199362,0.17,0.16,0.34,0.34,0.9284,0.0092,0.9909,1.9131,1971,1984,3955,579025,583431,1212227,1234335,3609018,0.16,0.16,0.33,0.34,0.8774,0.1519,0.8663,1.8973,2,1,3,112,94,201,212,619,0.17,0.17,0.33,0.33,0.8652,0.241,0.8042,1.9049,23,21,44,640,696,980,1148,3464,0.19,0.2,0.28,0.33,0.8817,0.1692,0.8486,1.9518,3,3,6,2172,1712,2134,2798,8816,0.24,0.19,0.26,0.31,0.9087,0.2248,0.8011,1.975
"Bacteria","NZ_LT629687",1203591,1213312,1850346,1856564,6123913,0.2,0.2,0.3,0.3,0.9402,0.0057,0.9943,1.9677,2679,2591,5270,1023343,970136,1589042,1588459,5170980,0.2,0.19,0.3,0.31,0.8937,0.1605,0.8591,1.954,1,2,3,144,120,165,201,630,0.21,0.19,0.27,0.32,0.8964,0.2433,0.789,1.9588,48,25,73,1083,1197,1640,1787,5707,0.19,0.21,0.29,0.31,0.889,0.132,0.881,1.9582,9,10,19,7133,5834,5944,8475,27386,0.26,0.21,0.23,0.3,0.9116,0.2261,0.8001,1.9866
